designation,designation_metric,W_lb_ft,A_in2,d_in,tw_in,bf_in,tf_in,Ix_in4,Sx_in3,rx_in,Zx_in3,Iy_in4,Sy_in3,ry_in,Zy_in3,J_in4,Cw_in6,rts_in,ho_in
W36X330,W920X491,330,96.9,37.7,1.02,16.6,1.85,23300,1240,15.5,1410,1420,171,3.83,265,84.3,456000,4.53,35.9
W36X302,W920X449,302,89,37.3,0.945,16.7,1.68,21100,1130,15.4,1280,1300,156,3.82,241,64.3,412000,4.53,35.6
W36X282,W920X420,282,82.9,37.1,0.885,16.6,1.57,19600,1050,15.4,1190,1200,144,3.8,223,52.7,378000,4.5,35.5
W36X262,W920X390,262,77.2,36.9,0.84,16.6,1.44,17900,972,15.3,1100,1090,132,3.76,204,41.6,342000,4.46,35.5
W36X247,W920X368,247,72.5,36.7,0.8,16.5,1.35,16700,913,15.2,1030,1010,123,3.74,190,34.7,316000,4.42,35.4
W36X231,W920X344,231,68.2,36.5,0.76,16.5,1.26,15600,854,15.1,963,940,114,3.71,176,28.7,292000,4.4,35.2
W36X256,W920X381,256,75.3,37.4,0.96,12.2,1.73,16800,895,14.9,1040,528,86.5,2.65,137,52.9,168000,3.24,35.7
W36X232,W920X345,232,68,37.1,0.87,12.1,1.57,15000,809,14.8,936,468,77.2,2.62,122,39.6,148000,3.21,35.5
W36X210,W920X313,210,61.9,36.7,0.83,12.2,1.36,13200,719,14.6,833,411,67.5,2.58,107,28,128000,3.18,35.3
W36X194,W920X289,194,57,36.5,0.765,12.1,1.26,12100,664,14.6,767,375,61.9,2.56,97.7,22.2,116000,3.15,35.2
W36X182,W920X271,182,53.6,36.3,0.725,12.1,1.18,11300,623,14.5,718,347,57.6,2.55,90.7,18.5,107000,3.13,35.1
W36X170,W920X253,170,50,36.2,0.68,12,1.1,10500,581,14.5,668,320,53.2,2.53,83.8,15.1,98500,3.11,35.1
W36X160,W920X238,160,47,36,0.65,12,1.02,9760,542,14.4,624,295,49.1,2.5,77.3,12.4,90200,3.09,35
W36X150,W920X223,150,44.3,35.9,0.625,12,0.94,9040,504,14.3,581,270,45.1,2.47,70.9,10.1,82200,3.06,35
W36X135,W920X201,135,39.9,35.6,0.6,12,0.79,7800,439,14,509,225,37.7,2.38,59.7,7,68100,2.99,34.8
W33X387,W840X576,387,114,36,1.26,16.2,2.28,24300,1350,14.6,1560,1620,200,3.77,312,148,459000,4.49,33.7
W33X354,W840X527,354,104,35.6,1.16,16.1,2.09,22000,1240,14.5,1420,1460,181,3.74,282,115,408000,4.44,33.5
W33X318,W840X473,318,93.7,35.2,1.04,16,1.89,19500,1110,14.5,1270,1290,161,3.71,250,84.4,357000,4.4,33.3
W33X291,W840X433,291,85.6,34.8,0.96,15.9,1.73,17700,1020,14.4,1160,1160,146,3.68,226,65.1,319000,4.34,33.1
