designation,designation_metric,W_lb_ft,A_in2,d_in,tw_in,bf_in,tf_in,Ix_in4,Sx_in3,rx_in,Zx_in3,Iy_in4,Sy_in3,ry_in,Zy_in3,J_in4,Cw_in6,rts_in,ho_in
W14X145,W360X216,145,42.7,14.8,0.68,15.5,1.09,1710,232,6.33,260,677,87.3,3.98,133,15.2,31700,4.47,13.7
W14X132,W360X196,132,38.8,14.7,0.645,14.7,1.03,1530,209,6.28,234,548,74.5,3.76,113,12.3,25500,4.23,13.7
W14X120,W360X179,120,35.3,14.5,0.59,14.7,0.94,1380,190,6.24,212,495,67.5,3.74,102,9.37,22700,4.2,13.6
W14X109,W360X162,109,32,14.3,0.525,14.6,0.86,1240,173,6.22,192,447,61.2,3.73,92.7,7.12,20200,4.17,13.4
W14X99,W360X147,99,29.1,14.2,0.485,14.6,0.78,1110,157,6.17,173,402,55.2,3.71,83.6,5.37,18000,4.14,13.4
W14X90,W360X134,90,26.5,14,0.44,14.5,0.71,999,143,6.14,157,362,49.9,3.7,75.6,4.06,16000,4.1,13.3
W14X82,W360X122,82,24,14.3,0.51,10.1,0.855,881,123,6.05,139,148,29.3,2.48,44.8,5.07,6710,2.85,13.4
W14X74,W360X110,74,21.8,14.2,0.45,10.1,0.785,795,112,6.04,126,134,26.6,2.48,40.5,3.87,5990,2.83,13.4
W14X68,W360X101,68,20,14,0.415,10,0.72,722,103,6.01,115,121,24.2,2.46,36.9,3.01,5380,2.8,13.3
W14X61,W360X91,61,17.9,13.9,0.375,10,0.645,640,92.1,5.98,102,107,21.5,2.45,32.8,2.19,4710,2.78,13.3
W14X53,W360X79,53,15.6,13.9,0.37,8.06,0.66,541,77.8,5.89,87.1,57.7,14.3,1.92,22,1.94,2540,2.22,13.2
W14X48,W360X72,48,14.1,13.8,0.34,8.03,0.595,484,70.2,5.85,78.4,51.4,12.8,1.91,19.6,1.45,2240,2.2,13.2
W14X43,W360X64,43,12.6,13.7,0.305,8,0.53,428,62.6,5.82,69.6,45.2,11.3,1.89,17.3,1.05,1950,2.18,13.2
W14X38,W360X57.8,38,11.2,14.1,0.31,6.77,0.515,385,54.6,5.87,61.5,26.7,7.88,1.55,12.1,0.798,1230,1.82,13.6
W14X34,W360X51,34,10,14,0.285,6.75,0.455,340,48.6,5.83,54.6,23.3,6.91,1.53,10.6,0.569,1070,1.8,13.5
W14X30,W360X44,30,8.85,13.8,0.27,6.73,0.385,291,42,5.73,47.3,19.6,5.82,1.49,8.99,0.38,887,1.77,13.4
W14X26,W360X39,26,7.69,13.9,0.255,5.03,0.42,245,35.3,5.65,40.2,8.91,3.55,1.08,5.54,0.358,405,1.3,13.5
W14X22,W360X32.9,22,6.49,13.7,0.23,5,0.335,199,29,5.54,33.2,7,2.8,1.04,4.39,0.208,314,1.27,13.4
W12X336,W310X500,336,98.9,16.8,1.78,13.4,2.96,4060,483,6.41,603,1190,177,3.47,274,243,57000,4.13,13.8
W12X305,W310X454,305,89.5,16.3,1.63,13.2,2.71,3550,435,6.29,537,1050,159,3.42,244,185,48600,4.05,13.6
W12X279,W310X415,279,81.9,15.9,1.53,13.1,2.47,3110,393,6.16,481,937,143,3.38,220,143,42000,4,13.4
W12X252,W310X375,252,74.1,15.4,1.4,13,2.25,2720,353,6.06,428,828,127,3.34,196,108,35800,3.93,13.2
W12X230,W310X342,230,67.7,15.1,1.29,12.9,2.07,2420,321,5.97,386,742,115,3.31,177,83.8,31200,3.87,13
W12X210,W310X313,210,61.8,14.7,1.18,12.8,1.9,2140,292,5.89,348,664,104,3.28,159,64.7,27200,3.81,12.8
W12X190,W310X283,190,56,14.4,1.06,12.7,1.74,1890,263,5.82,311,589,93,3.25,143,48.8,23600,3.77,12.7
W12X170,W310X253,170,50,14,0.96,12.6,1.56,1650,235,5.74,275,517,82.3,3.22,126,35.6,20100,3.7,12.4
W12X152,W310X226,152,44.7,13.7,0.87,12.5,1.4,1430,209,5.66,243,454,72.8,3.19,111,25.8,17200,3.66,12.3
W12X136,W310X202,136,39.9,13.4,0.79,12.4,1.25,1240,186,5.58,214,398,64.2,3.16,98,18.5,14700,3.61,12.2
W12X120,W310X179,120,35.2,13.1,0.71,12.3,1.11,1070,163,5.51,186,345,56,3.13,85.4,12.9,12400,3.56,12
W12X106,W310X158,106,31.2,12.9,0.61,12.2,0.99,933,145,5.47,164,301,49.3,3.11,75.1,9.13,10700,3.52,11.9
W12X96,W310X143,96,28.2,12.7,0.55,12.2,0.9,833,131,5.44,147,270,44.4,3.09,67.5,6.85,9410,3.49,11.8
W12X87,W310X129,87,25.6,12.5,0.515,12.1,0.81,740,118,5.38,132,241,39.7,3.07,60.4,5.1,8270,3.46,11.7
W12X79,W310X117,79,23.2,12.4,0.47,12.1,0.735,662,107,5.34,119,216,35.8,3.05,54.3,3.84,7330,3.43,11.7
W12X72,W310X107,72,21.1,12.3,0.43,12,0.67,597,97.4,5.31,108,195,32.4,3.04,49.2,2.93,6540,3.41,11.6
W12X65,W310X97,65,19.1,12.1,0.39,12,0.605,533,87.9,5.28,96.8,174,29.1,3.02,44.1,2.18,5780,3.38,11.5
W12X58,W310X86,58,17,12.2,0.36,10,0.64,475,78,5.28,86.4,107,21.4,2.51,32.5,2.1,3570,2.81,11.6
W12X53,W310X79,53,15.6,12.1,0.345,10,0.575,425,70.6,5.23,77.9,95.8,19.2,2.48,29.1,1.58,3160,2.79,11.5
W12X50,W310X74,50,14.6,12.2,0.37,8.08,0.64,391,64.2,5.18,71.9,56.3,13.9,1.96,21.3,1.71,1880,2.25,11.6
W12X45,W310X67,45,13.1,12.1,0.335,8.05,0.575,348,57.7,5.15,64.2,50,12.4,1.95,19,1.26,1650,2.23,11.5
W12X40,W310X60,40,11.7,11.9,0.295,8.01,0.515,307,51.5,5.13,57,44.1,11,1.94,16.8,0.906,1440,2.21,11.4
W12X35,W310X52,35,10.3,12.5,0.3,6.56,0.52,285,45.6,5.25,51.2,24.5,7.47,1.54,11.5,0.741,879,1.79,12
W12X30,W310X44.5,30,8.79,12.3,0.26,6.52,0.44,238,38.6,5.21,43.1,20.3,6.24,1.52,9.56,0.457,720,1.77,11.9
W12X26,W310X38.7,26,7.65,12.2,0.23,6.49,0.38,204,33.4,5.17,37.2,17.3,5.34,1.51,8.17,0.3,607,1.75,11.8
W12X22,W310X32.7,22,6.48,12.3,0.26,4.03,0.425,156,25.4,4.91,29.3,4.66,2.31,0.848,3.66,0.293,164,1.04,11.9
W12X19,W310X28.3,19,5.57,12.2,0.235,4.01,0.35,130,21.3,4.82,24.7,3.76,1.88,0.822,2.98,0.18,131,1.02,11.9
W12X16,W310X23.8,16,4.71,12,0.22,3.99,0.265,103,17.1,4.67,20.1,2.82,1.41,0.773,2.26,0.103,96.9,0.983,11.7
W12X14,W310X21,14,4.16,11.9,0.2,3.97,0.225,88.6,14.9,4.62,17.4,2.36,1.19,0.753,1.9,0.0704,80.4,0.961,11.7
W10X112,W250X167,112,32.9,11.4,0.755,10.4,1.25,716,126,4.66,147,236,45.3,2.68,69.2,15.1,6020,3.08,10.2
W10X100,W250X149,100,29.3,11.1,0.68,10.3,1.12,623,112,4.6,130,207,40,2.65,61,10.9,5150,3.04,10
W10X88,W250X131,88,26,10.8,0.605,10.3,0.99,534,98.5,4.54,113,179,34.8,2.63,53.1,7.53,4330,2.99,9.81
W10X77,W250X115,77,22.7,10.6,0.53,10.2,0.87,455,85.9,4.49,97.6,154,30.1,2.6,45.9,5.11,3630,2.95,9.73
W10X68,W250X101,68,19.9,10.4,0.47,10.1,0.77,394,75.7,4.44,85.3,134,26.4,2.59,40.1,3.56,3100,2.92,9.63
W10X60,W250X89,60,17.7,10.2,0.42,10.1,0.68,341,66.7,4.39,74.6,116,23,2.57,35,2.48,2640,2.88,9.52
W10X54,W250X80,54,15.8,10.1,0.37,10,0.615,303,60,4.37,66.6,103,20.6,2.56,31.3,1.82,2320,2.85,9.49
W10X49,W250X73,49,14.4,10,0.34,10,0.56,272,54.6,4.35,60.4,93.4,18.7,2.54,28.3,1.39,2070,2.84,9.44
W10X45,W250X67,45,13.3,10.1,0.35,8.02,0.62,248,49.1,4.32,54.9,53.4,13.3,2.01,20.3,1.51,1200,2.27,9.48
W10X39,W250X58,39,11.5,9.92,0.315,7.99,0.53,209,42.1,4.27,46.8,45,11.3,1.98,17.2,0.976,992,2.24,9.39
W10X33,W250X49.1,33,9.71,9.73,0.29,7.96,0.435,171,35,4.19,38.8,36.6,9.2,1.94,14,0.583,791,2.2,9.3
W10X30,W250X44.8,30,8.84,10.5,0.3,5.81,0.51,170,32.4,4.38,36.6,16.7,5.75,1.37,8.84,0.622,414,1.6,9.99
W10X26,W250X38.5,26,7.61,10.3,0.26,5.77,0.44,144,27.9,4.35,31.3,14.1,4.89,1.36,7.5,0.402,345,1.58,9.86
W10X22,W250X32.7,22,6.49,10.2,0.24,5.75,0.36,118,23.2,4.27,26,11.4,3.97,1.33,6.1,0.239,275,1.55,9.84
W10X19,W250X28.4,19,5.62,10.2,0.25,4.02,0.395,96.3,18.8,4.14,21.6,4.29,2.14,0.874,3.35,0.233,104,1.06,9.81
W10X17,W250X25.3,17,4.99,10.1,0.24,4.01,0.33,81.9,16.2,4.05,18.7,3.56,1.78,0.845,2.8,0.156,85.1,1.04,9.77
W10X15,W250X22.3,15,4.41,9.99,0.23,4,0.27,68.9,13.8,3.95,16,2.89,1.45,0.81,2.3,0.104,68.3,1.01,9.72
W10X12,W250X17.9,12,3.54,9.87,0.19,3.96,0.21,53.8,10.9,3.9,12.6,2.18,1.1,0.785,1.74,0.0547,50.9,0.983,9.66
W8X67,W200X100,67,19.7,9,0.57,8.28,0.935,272,60.4,3.72,70.1,88.6,21.4,2.12,32.7,5.05,1440,2.43,8.07
W8X58,W200X86,58,17.1,8.75,0.51,8.22,0.81,228,52,3.65,59.8,75.1,18.3,2.1,27.9,3.33,1180,2.39,7.94
W8X48,W200X71,48,14.1,8.5,0.4,8.11,0.685,184,43.2,3.61,49,60.9,15,2.08,22.9,1.96,931,2.35,7.82
W8X40,W200X59,40,11.7,8.25,0.36,8.07,0.56,146,35.5,3.53,39.8,49.1,12.2,2.04,18.5,1.12,726,2.31,7.69
W8X35,W200X52,35,10.3,8.12,0.31,8.02,0.495,127,31.2,3.51,34.7,42.6,10.6,2.03,16.1,0.769,619,2.28,7.63
W8X31,W200X46.1,31,9.13,8,0.285,8,0.435,110,27.5,3.47,30.4,37.1,9.27,2.02,14.1,0.536,530,2.26,7.57
W8X28,W200X41.7,28,8.25,8.06,0.285,6.54,0.465,98,24.3,3.45,27.2,21.7,6.63,1.62,10.1,0.537,312,1.84,7.6
W8X24,W200X35.9,24,7.08,7.93,0.245,6.5,0.4,82.7,20.9,3.42,23.1,18.3,5.63,1.61,8.57,0.346,259,1.81,7.53
W8X21,W200X31.3,21,6.16,8.28,0.25,5.27,0.4,75.3,18.2,3.49,20.4,9.77,3.71,1.26,5.69,0.282,152,1.46,7.88
W8X18,W200X26.6,18,5.26,8.14,0.23,5.25,0.33,61.9,15.2,3.43,17,7.97,3.04,1.23,4.66,0.172,122,1.43,7.81
W8X15,W200X22.5,15,4.44,8.11,0.245,4.02,0.315,48,11.8,3.29,13.6,3.41,1.7,0.876,2.67,0.137,51.8,1.06,7.8
W8X13,W200X19.3,13,3.84,7.99,0.23,4,0.255,39.6,9.91,3.21,11.4,2.73,1.37,0.843,2.15,0.0871,40.8,1.03,7.74
W8X10,W200X15,10,2.96,7.89,0.17,3.94,0.205,30.8,7.81,3.22,8.87,2.09,1.06,0.841,1.66,0.0426,30.9,1.01,7.69
W6X25,W150X37.1,25,7.34,6.38,0.32,6.08,0.455,53.4,16.7,2.7,18.9,17.1,5.61,1.52,8.56,0.461,150,1.74,5.93
W6X20,W150X29.8,20,5.87,6.2,0.26,6.02,0.365,41.4,13.4,2.66,14.9,13.3,4.41,1.5,6.72,0.24,113,1.7,5.84
W6X15,W150X22.5,15,4.43,5.99,0.23,5.99,0.26,29.1,9.72,2.56,10.8,9.32,3.11,1.45,4.75,0.101,76.5,1.66,5.73
W6X16,W150X24,16,4.74,6.28,0.26,4.03,0.405,32.1,10.2,2.6,11.7,4.43,2.2,0.967,3.39,0.223,38.2,1.13,5.88
W6X12,W150X18,12,3.55,6.03,0.23,4,0.28,22.1,7.31,2.49,8.3,2.99,1.5,0.918,2.32,0.0903,24.7,1.08,5.75
W6X9,W150X13.5,9,2.68,5.9,0.17,3.94,0.215,16.4,5.56,2.47,6.23,2.2,1.11,0.905,1.72,0.0405,17.7,1.06,5.69
W6X8.5,W150X13,8.5,2.52,5.83,0.17,3.94,0.195,14.9,5.1,2.43,5.73,1.99,1.01,0.89,1.56,0.0333,15.8,1.05,5.64
W5X19,W130X28.1,19,5.56,5.15,0.27,5.03,0.43,26.3,10.2,2.17,11.6,9.13,3.63,1.28,5.53,0.316,50.9,1.45,4.72
W5X16,W130X23.8,16,4.71,5.01,0.24,5,0.36,21.4,8.55,2.13,9.63,7.51,3,1.26,4.58,0.192,40.6,1.43,4.65
W4X13,W100X19.3,13,3.83,4.16,0.28,4.06,0.345,11.3,5.46,1.72,6.28,3.86,1.9,1,2.92,0.151,14,1.16,3.82
